origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2016-04-23,ili perc,1,HHS Region 1,quantile,0.01,2016-04-30,0.751186028875521
2016-04-23,ili perc,1,HHS Region 1,quantile,0.025,2016-04-30,0.854808137718325
2016-04-23,ili perc,1,HHS Region 1,quantile,0.05,2016-04-30,0.9416527311943657
2016-04-23,ili perc,1,HHS Region 1,quantile,0.1,2016-04-30,1.0223912000310866
2016-04-23,ili perc,1,HHS Region 1,quantile,0.15,2016-04-30,1.0835856404625273
2016-04-23,ili perc,1,HHS Region 1,quantile,0.2,2016-04-30,1.1321283834418463
2016-04-23,ili perc,1,HHS Region 1,quantile,0.25,2016-04-30,1.1723868639299453
2016-04-23,ili perc,1,HHS Region 1,quantile,0.3,2016-04-30,1.2114626393770445
2016-04-23,ili perc,1,HHS Region 1,quantile,0.35,2016-04-30,1.2460062158661842
2016-04-23,ili perc,1,HHS Region 1,quantile,0.4,2016-04-30,1.2782843303800522
2016-04-23,ili perc,1,HHS Region 1,quantile,0.45,2016-04-30,1.3070245958676654
2016-04-23,ili perc,1,HHS Region 1,quantile,0.5,2016-04-30,1.334732395108636
2016-04-23,ili perc,1,HHS Region 1,quantile,0.55,2016-04-30,1.3618616091838411
2016-04-23,ili perc,1,HHS Region 1,quantile,0.6,2016-04-30,1.3898511370762925
2016-04-23,ili perc,1,HHS Region 1,quantile,0.65,2016-04-30,1.4188144977466544
2016-04-23,ili perc,1,HHS Region 1,quantile,0.7,2016-04-30,1.4496680105756998
2016-04-23,ili perc,1,HHS Region 1,quantile,0.75,2016-04-30,1.4897474267295814
2016-04-23,ili perc,1,HHS Region 1,quantile,0.8,2016-04-30,1.5330339367289274
2016-04-23,ili perc,1,HHS Region 1,quantile,0.85,2016-04-30,1.597898793873357
2016-04-23,ili perc,1,HHS Region 1,quantile,0.9,2016-04-30,1.6821780523885714
2016-04-23,ili perc,1,HHS Region 1,quantile,0.95,2016-04-30,1.8333820365907456
2016-04-23,ili perc,1,HHS Region 1,quantile,0.975,2016-04-30,2.0269613628850314
2016-04-23,ili perc,1,HHS Region 1,quantile,0.99,2016-04-30,3.379728612781539
2016-04-23,ili perc,2,HHS Region 1,quantile,0.01,2016-05-07,0.5918116606536332
2016-04-23,ili perc,2,HHS Region 1,quantile,0.025,2016-05-07,0.6776999155945534
2016-04-23,ili perc,2,HHS Region 1,quantile,0.05,2016-05-07,0.7526608011254832
2016-04-23,ili perc,2,HHS Region 1,quantile,0.1,2016-05-07,0.8438248835761737
2016-04-23,ili perc,2,HHS Region 1,quantile,0.15,2016-05-07,0.914328314687062
2016-04-23,ili perc,2,HHS Region 1,quantile,0.2,2016-05-07,0.972277999363478
2016-04-23,ili perc,2,HHS Region 1,quantile,0.25,2016-05-07,1.0116878095221158
2016-04-23,ili perc,2,HHS Region 1,quantile,0.3,2016-05-07,1.0537904169221817
2016-04-23,ili perc,2,HHS Region 1,quantile,0.35,2016-05-07,1.0926824536411524
