origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2019-03-09,ili perc,1,HHS Region 1,quantile,0.01,2019-03-16,1.5506619780413058
2019-03-09,ili perc,1,HHS Region 1,quantile,0.025,2019-03-16,1.904387288374466
2019-03-09,ili perc,1,HHS Region 1,quantile,0.05,2019-03-16,2.0827690645525885
2019-03-09,ili perc,1,HHS Region 1,quantile,0.1,2019-03-16,2.2375331041563915
2019-03-09,ili perc,1,HHS Region 1,quantile,0.15,2019-03-16,2.328635370968218
2019-03-09,ili perc,1,HHS Region 1,quantile,0.2,2019-03-16,2.406826974412017
2019-03-09,ili perc,1,HHS Region 1,quantile,0.25,2019-03-16,2.4707183036731157
2019-03-09,ili perc,1,HHS Region 1,quantile,0.3,2019-03-16,2.528281587004001
2019-03-09,ili perc,1,HHS Region 1,quantile,0.35,2019-03-16,2.5767995324881445
2019-03-09,ili perc,1,HHS Region 1,quantile,0.4,2019-03-16,2.6289859119761405
2019-03-09,ili perc,1,HHS Region 1,quantile,0.45,2019-03-16,2.67060451224092
2019-03-09,ili perc,1,HHS Region 1,quantile,0.5,2019-03-16,2.7175701941386405
2019-03-09,ili perc,1,HHS Region 1,quantile,0.55,2019-03-16,2.765516781792648
2019-03-09,ili perc,1,HHS Region 1,quantile,0.6,2019-03-16,2.8200388024406253
2019-03-09,ili perc,1,HHS Region 1,quantile,0.65,2019-03-16,2.872285867423675
2019-03-09,ili perc,1,HHS Region 1,quantile,0.7,2019-03-16,2.930623458203864
2019-03-09,ili perc,1,HHS Region 1,quantile,0.75,2019-03-16,2.9914355741868857
2019-03-09,ili perc,1,HHS Region 1,quantile,0.8,2019-03-16,3.0726799659914987
2019-03-09,ili perc,1,HHS Region 1,quantile,0.85,2019-03-16,3.1654724772770195
2019-03-09,ili perc,1,HHS Region 1,quantile,0.9,2019-03-16,3.3534089246394574
2019-03-09,ili perc,1,HHS Region 1,quantile,0.95,2019-03-16,4.333560548450618
2019-03-09,ili perc,1,HHS Region 1,quantile,0.975,2019-03-16,4.993743700173187
2019-03-09,ili perc,1,HHS Region 1,quantile,0.99,2019-03-16,5.738589459805682
2019-03-09,ili perc,2,HHS Region 1,quantile,0.01,2019-03-23,1.1886871495374731
2019-03-09,ili perc,2,HHS Region 1,quantile,0.025,2019-03-23,1.4807418452150272
2019-03-09,ili perc,2,HHS Region 1,quantile,0.05,2019-03-23,1.6496934043831375
2019-03-09,ili perc,2,HHS Region 1,quantile,0.1,2019-03-23,1.8539525218273805
2019-03-09,ili perc,2,HHS Region 1,quantile,0.15,2019-03-23,1.986027659877316
2019-03-09,ili perc,2,HHS Region 1,quantile,0.2,2019-03-23,2.0742093126498635
