origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2018-04-21,ili perc,1,HHS Region 1,quantile,0.01,2018-04-28,0.9063276942176188
2018-04-21,ili perc,1,HHS Region 1,quantile,0.025,2018-04-28,1.02049823835491
2018-04-21,ili perc,1,HHS Region 1,quantile,0.05,2018-04-28,1.096389254483259
2018-04-21,ili perc,1,HHS Region 1,quantile,0.1,2018-04-28,1.1937101711594869
2018-04-21,ili perc,1,HHS Region 1,quantile,0.15,2018-04-28,1.244917280417945
2018-04-21,ili perc,1,HHS Region 1,quantile,0.2,2018-04-28,1.2894095906124756
2018-04-21,ili perc,1,HHS Region 1,quantile,0.25,2018-04-28,1.3253566939741426
2018-04-21,ili perc,1,HHS Region 1,quantile,0.3,2018-04-28,1.356941708862787
2018-04-21,ili perc,1,HHS Region 1,quantile,0.35,2018-04-28,1.387440419792812
2018-04-21,ili perc,1,HHS Region 1,quantile,0.4,2018-04-28,1.4152589502186097
2018-04-21,ili perc,1,HHS Region 1,quantile,0.45,2018-04-28,1.439602793653746
2018-04-21,ili perc,1,HHS Region 1,quantile,0.5,2018-04-28,1.4628277049281186
2018-04-21,ili perc,1,HHS Region 1,quantile,0.55,2018-04-28,1.4871498663714158
2018-04-21,ili perc,1,HHS Region 1,quantile,0.6,2018-04-28,1.5165963966656395
2018-04-21,ili perc,1,HHS Region 1,quantile,0.65,2018-04-28,1.548017694333199
2018-04-21,ili perc,1,HHS Region 1,quantile,0.7,2018-04-28,1.5847125866815317
2018-04-21,ili perc,1,HHS Region 1,quantile,0.75,2018-04-28,1.6239375000558312
2018-04-21,ili perc,1,HHS Region 1,quantile,0.8,2018-04-28,1.6626691997804532
2018-04-21,ili perc,1,HHS Region 1,quantile,0.85,2018-04-28,1.7162871623920255
2018-04-21,ili perc,1,HHS Region 1,quantile,0.9,2018-04-28,2.013579736645932
2018-04-21,ili perc,1,HHS Region 1,quantile,0.95,2018-04-28,2.9407314038820975
2018-04-21,ili perc,1,HHS Region 1,quantile,0.975,2018-04-28,3.4895902157560363
2018-04-21,ili perc,1,HHS Region 1,quantile,0.99,2018-04-28,4.0521006189721005
2018-04-21,ili perc,2,HHS Region 1,quantile,0.01,2018-05-05,0.6504739325907529
2018-04-21,ili perc,2,HHS Region 1,quantile,0.025,2018-05-05,0.7954810399141419
2018-04-21,ili perc,2,HHS Region 1,quantile,0.05,2018-05-05,0.8879462944430858
2018-04-21,ili perc,2,HHS Region 1,quantile,0.1,2018-05-05,0.9921098683370798
2018-04-21,ili perc,2,HHS Region 1,quantile,0.15,2018-05-05,1.0536693646853807
2018-04-21,ili perc,2,HHS Region 1,quantile,0.2,2018-05-05,1.1070333700248072
2018-04-21,ili perc,2,HHS Region 1,quantile,0.25,2018-05-05,1.1484634525954884
2018-04-21,ili perc,2,HHS Region 1,quantile,0.3,2018-05-05,1.1821272130873133
2018-04-21,ili perc,2,HHS Region 1,quantile,0.35,2018-05-05,1.219977199303118
2018-04-21,ili perc,2,HHS Region 1,quantile,0.4,2018-05-05,1.258155373208388
2018-04-21,ili perc,2,HHS Region 1,quantile,0.45,2018-05-05,1.2912562997844503
2018-04-21,ili perc,2,HHS Region 1,quantile,0.5,2018-05-05,1.327862160073487
2018-04-21,ili perc,2,HHS Region 1,quantile,0.55,2018-05-05,1.367229915263462
2018-04-21,ili perc,2,HHS Region 1,quantile,0.6,2018-05-05,1.408473428177779
2018-04-21,ili perc,2,HHS Region 1,quantile,0.65,2018-05-05,1.4489526716265826
2018-04-21,ili perc,2,HHS Region 1,quantile,0.7,2018-05-05,1.501079572542575
2018-04-21,ili perc,2,HHS Region 1,quantile,0.75,2018-05-05,1.561962150227287
2018-04-21,ili perc,2,HHS Region 1,quantile,0.8,2018-05-05,1.6281355216695577
2018-04-21,ili perc,2,HHS Region 1,quantile,0.85,2018-05-05,1.7071835562573598
2018-04-21,ili perc,2,HHS Region 1,quantile,0.9,2018-05-05,2.050398817159959
2018-04-21,ili perc,2,HHS Region 1,quantile,0.95,2018-05-05,3.0147964504321627
2018-04-21,ili perc,2,HHS Region 1,quantile,0.975,2018-05-05,3.6515925886966447
2018-04-21,ili perc,2,HHS Region 1,quantile,0.99,2018-05-05,4.31502760655701
2018-04-21,ili perc,3,HHS Region 1,quantile,0.01,2018-05-12,0.5537982272304481
2018-04-21,ili perc,3,HHS Region 1,quantile,0.025,2018-05-12,0.6559906604255434
2018-04-21,ili perc,3,HHS Region 1,quantile,0.05,2018-05-12,0.729940302571954
2018-04-21,ili perc,3,HHS Region 1,quantile,0.1,2018-05-12,0.8295997284569443
2018-04-21,ili perc,3,HHS Region 1,quantile,0.15,2018-05-12,0.8944393230810317
2018-04-21,ili perc,3,HHS Region 1,quantile,0.2,2018-05-12,0.942536056570493
2018-04-21,ili perc,3,HHS Region 1,quantile,0.25,2018-05-12,0.9850894392221724
2018-04-21,ili perc,3,HHS Region 1,quantile,0.3,2018-05-12,1.0275671886169688
2018-04-21,ili perc,3,HHS Region 1,quantile,0.35,2018-05-12,1.0679895531488903
2018-04-21,ili perc,3,HHS Region 1,quantile,0.4,2018-05-12,1.105797319738136
2018-04-21,ili perc,3,HHS Region 1,quantile,0.45,2018-05-12,1.144194037110013
2018-04-21,ili perc,3,HHS Region 1,quantile,0.5,2018-05-12,1.1848944430227848
