origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.01,3.304715018162126
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.025,3.9793139786200538
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.05,4.6691727436930535
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.1,5.2745425490120255
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.15,5.442387883631586
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.2,5.543371378620054
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.25,5.599831807212507
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.3,5.6496980786200535
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.35,5.683629879211733
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.4,5.723434838309963
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.45,5.751414978620054
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.5,5.787989329734076
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.55,5.824190978620054
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.6,5.86746215500655
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.65,5.916926272476523
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.7,5.962859303596282
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.75,6.012574480067591
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.8,6.096226378620053
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.85,6.212041184908688
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.9,6.46206207409983
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.95,6.878983978620054
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.975,7.601161754389483
2019-02-02,HHS Region 1,ili perc,1,2019-02-09,quantile,0.99,8.215628018620052
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.01,1.3211904734451596
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.025,3.7474749273686987
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.05,4.186404598214528
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.1,4.664020706700681
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.15,4.851588443514407
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.2,4.961360476709727
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.25,5.03170985608875
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.3,5.084391796178018
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.35,5.129463978620054
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.4,5.167438978620054
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.45,5.205280498868718
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.5,5.235621832361204
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.55,5.2679247731657
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.6,5.307602978620054
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.65,5.374991337810254
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.7,5.42819808237729
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.75,5.476805540825246
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.8,5.574003978620054
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.85,5.698467278620053
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.9,6.085755769711488
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.95,6.614216794028533
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.975,7.075421754389483
2019-02-02,HHS Region 1,ili perc,2,2019-02-16,quantile,0.99,7.690723518620052
2019-02-02,HHS Region 1,ili perc,3,2019-02-23,quantile,0.01,0.44826047344515935
2019-02-02,HHS Region 1,ili perc,3,2019-02-23,quantile,0.025,2.439023978620054
2019-02-02,HHS Region 1,ili perc,3,2019-02-23,quantile,0.05,3.3114375759228567
