origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.01,0
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.025,0
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.05,0.7766607832639434
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.1,1.4872972578105033
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.15,1.657213949927883
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.2,1.7672912646900674
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.25,1.8314194931594783
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.3,1.8667083062629781
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.35,1.9062718526087432
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.4,1.9575405668200552
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.45,1.9985403018863175
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.5,2.0259308526087434
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.55,2.058614996070487
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.6,2.090852252608743
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.65,2.139001489012875
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.7,2.189920421280988
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.75,2.2432568526087433
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.8,2.324739304223605
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.85,2.4461871906979207
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.9,2.6956557266569727
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.95,3.0772828287761715
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.975,3.4899432995885533
2017-02-25,HHS Region 1,ili perc,1,2017-03-04,quantile,0.99,4.050083582608742
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.01,0.10149906585074668
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.025,1.033599176485332
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.05,1.5228826370268442
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.1,2.033709393128919
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.15,2.202073949927883
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.2,2.3066900381751765
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.25,2.377968852608743
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.3,2.422804820490823
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.35,2.4720701904190396
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.4,2.52565826589056
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.45,2.546499852608743
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.5,2.5657079643807257
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.55,2.6022396108953183
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.6,2.635712252608743
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.65,2.679099244046696
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.7,2.734780421280988
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.75,2.776096467311703
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.8,2.8410097084270607
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.85,2.9602805950856332
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.9,3.2893725397671294
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.95,3.665260775558764
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.975,4.09594637760874
2017-02-25,HHS Region 1,ili perc,2,2017-03-11,quantile,0.99,4.838854345738719
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.01,0
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.025,0
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.05,0.9182588177808018
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.1,1.5971804354276613
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.15,1.8080189525039578
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.2,1.9358483938040463
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.25,2.019276728312004
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.3,2.059923738863432
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.35,2.1214308526087433
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.4,2.1607488526087435
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.45,2.1977329858429275
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.5,2.218292310867502
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.55,2.2405988526087435
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.6,2.2841276595522073
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.65,2.322176239707505
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.7,2.3679952709891445
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.75,2.428215393662451
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.8,2.49899212953059
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.85,2.6228974411436865
2017-02-25,HHS Region 1,ili perc,3,2017-03-18,quantile,0.9,2.848706852608743
