origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.01,0
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.025,0
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.05,0
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.1,0.13949429026828974
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.15,0.3383812902682898
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.2,0.46868483146359274
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.25,0.5497952902682898
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.3,0.6069289078262541
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.35,0.6487171402682899
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.4,0.6894796180257358
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.45,0.7253182778533399
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.5,0.7522052902682898
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.55,0.782223238050918
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.6,0.8257927292704456
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.65,0.8680339430024777
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.7,0.9328234567724417
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.75,0.9723240568306007
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.8,1.0868276868326567
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.85,1.1880936283574677
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.9,1.5840687382432899
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.95,2.088822207919524
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.975,2.602628163679044
2016-11-12,HHS Region 1,ili perc,1,2016-11-19,quantile,0.99,3.036784920268288
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.01,0
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.025,0
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.05,0
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.1,0.39419990723235476
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.15,0.6013327538092478
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.2,0.7112318902682897
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.25,0.7838482902682897
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.3,0.8415243806329136
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.35,0.910130419897911
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.4,0.9502177702517991
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.45,0.9770160258084413
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.5,1.0117249142010598
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.55,1.0622532540952483
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.6,1.0916585896156328
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.65,1.1409374625305688
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.7,1.1875972202369833
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.75,1.2340422902682897
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.8,1.3164302902682898
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.85,1.4698522902682898
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.9,1.7313865332342206
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.95,2.2815269908540516
2016-11-12,HHS Region 1,ili perc,2,2016-11-26,quantile,0.975,2.817848066037719
